Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Legal Business Name,Doing Business As (DBA),Building Number,Street,Borough,Postcode,Business Address,Sidewalk Dimensions (Area),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,Landmark District or Building,landmarkDistrict_terms,Latitude,Longitude,NTA
roadway,Tacos Cuautla Morelos,Tacos Cuautla Morelos,Tacos Cuautla Morelos,438 E 9st,438 E 9st,Manhattan,10009,"438 E 9st 438 E 9st, Manhattan, NY",,144,no,yes,no,yes,yes,,,
both,TBA Brooklyn,"Stina Easton, Inc",TBA Brooklyn,395,Wythe Ave,Brooklyn,11249,"395 Wythe Ave, Brooklyn, NY",567,168,yes,yes,yes,no,,40.711133,-73.966545,North Side-South Side
sidewalk,Cup of Brooklyn,Cup of Brooklyn,Cup of Brooklyn,1071,Gates Ave,Brooklyn,11221,"1071  Gates Ave, Brooklyn, NY",78,,yes,no,no,no,,40.689466,-73.922358,Stuyvesant Heights
both,hahmjibach catering inc,janchimyongga,janchimyongga,4016,150 st,Queens,11354,"4016 150 st , Queens, NY",210,160,yes,yes,no,no,,40.763256,-73.814246,Murray Hill
sidewalk,Retro Grill,Retro Grill Inc.,Retro Grill Inc.,2556,Coney Island Avenue,Brooklyn,11223,"2556 Coney Island Avenue, Brooklyn, NY",102,,yes,no,no,no,,40.59464,-73.960928,Homecrest
sidewalk,Gregorys Coffee,630 9th Coffee and Bakery LLC,630 9th Coffee and Bakery LLC,630,9th Ave,Manhattan,10036,"630 9th Ave, Manhattan, NY",105,,yes,no,no,no,,40.760038,-73.991449,Clinton
both,Mad Cafe,Mad for coffee,Mad for coffee,4316,Queens Blvd,Queens,11104,"4316 Queens Blvd, Queens, NY",240,180,yes,yes,no,no,,40.743447,-73.921238,Hunters Point-Sunnyside-West Maspeth
sidewalk,Rinconcito Vegano Corp,Rinconcito Vegano Corp,Rinconcito Vegano Corp,1650,St Nicholas Avenue,Manhattan,10040,"1650 St Nicholas Avenue, Manhattan, NY",132,,yes,no,no,no,,40.856488,-73.928482,Washington Heights North
roadway,da Toscano,LFNY LLC,Da Toscano,24,Minetta Lane,Manhattan,10012,"24 Minetta Lane, Manhattan, NY",,220,no,yes,yes,yes,yes,40.730436,-74.001378,West Village
both,PlantShed Cafe,PlantShed 87 Corp,Oaxaca Hells Kitchen,555,Columbus Avenue,Manhattan,10024,"555 Columbus Avenue, Manhattan, NY",357,408,yes,yes,no,no,,40.786999,-73.97179,Upper West Side
both,Salvadorian restaurant MI TIERRA inc,Salvadorian restaurant MI TIERRA inc,Salvadorian restaurant MI TIERRA inc,149-15,Jamaica av,Queens,11435,"149-15  Jamaica av , Queens, NY",180,160,yes,yes,no,no,,40.701954,-73.805253,Jamaica
both,FABBRICA,Marina Caffe LLC,FABBRICA Restaurant & Bar,34,N 6th Street,Brooklyn,11249,"34 N 6th Street, Brooklyn, NY",232,240,yes,yes,yes,no,,40.719956,-73.962622,North Side-South Side
openstreets,Sweetwaters Coffee &Tea,Kingward Enterprises Inc.,Sweetwaters Coffee & Tea,55,5th Avenue,Brooklyn,11217,"55 5th Avenue, Brooklyn, NY",,,no,no,no,no,,40.681135,-73.97725,Park Slope-Gowanus
both,Matigy cafe,matigy cafe corp,matigy cafe corp,25-01,steinway street,Queens,11103,"25-01 steinway street, Queens, NY",512,384,yes,yes,no,no,,40.767588,-73.911975,Astoria
sidewalk,Perfecto Pizza,Loula Donuts Shop inc,Loula Donuts Shop inc,169-23,Jamaica ave,Queens,11432,"169-23 Jamaica ave , Queens, NY",164,,yes,no,yes,no,,40.70697,-73.790479,Jamaica
roadway,Cote Korean Steakhouse,Progressive Restauarant,Progressive Restauarant,16,West 22nd Street,Manhattan,10010,"16 West 22nd Street, Manhattan, NY",,272,no,yes,yes,yes,yes,40.741214,-73.990884,Hudson Yards-Chelsea-Flatiron-Union Square
sidewalk,Hero Champ,Framar Restaurant Corp,Framar Restaurant Corp,948,3rd avenue,Brooklyn,11232,"948 3rd avenue, Brooklyn, NY",150,,yes,no,no,no,,40.655611,-74.006358,Sunset Park West
sidewalk,Olde Brooklyn Bagel,645 Bagels Corp,645 Bagels Corp,645,Vanderbilt ave,Brooklyn,11238,"645  Vanderbilt ave , Brooklyn, NY",108,,yes,no,no,yes,yes,40.677795,-73.9688,Prospect Heights
roadway,Thaan Thai Restaurant,Pro Siam Inc,Pro Siam Inc,8422,37th Ave,Queens,11372,"8422 37th Ave, Queens, NY",,96,no,yes,no,yes,yes,40.749962,-73.882165,Jackson Heights
sidewalk,king crab eating station,king crab eating station,king crab eating station,2435,86th St,Brooklyn,11214,"2435 86th St, Brooklyn, NY",750,,yes,no,no,no,,40.598653,-73.98839,Bensonhurst East
roadway,Hill Country,"Hill Country New York, LLC",Hill Country,30,West 26th,Manhattan,10010,"30  West 26th, Manhattan, NY",,550,no,yes,yes,no,,40.744102,-73.989762,Hudson Yards-Chelsea-Flatiron-Union Square
both,1601 Dominican Valle restaurant Corp,1601 Dominican Valle restaurant Corp,1601 Dominican Valle restaurant Corp,1601,Saint Nicholas ave,Manhattan,10040,"1601  Saint Nicholas ave , Manhattan, NY",48,108,yes,yes,no,no,,40.855009,-73.929583,Washington Heights North
both,Jean Claude restaurant,Serena Wah Inc,Jean Claude 2,1343,2nd Avenue,Manhattan,10021,"1343  2nd Avenue , Manhattan, NY",360,240,yes,yes,yes,no,,40.767933,-73.959011,Lenox Hill-Roosevelt Island
sidewalk,Gran Torino,Berry Street Associates LLC,Gran Torino,131,Berry Street,Brooklyn,11249,"131 Berry Street, Brooklyn, NY",828,,yes,no,yes,no,,40.718431,-73.959214,North Side-South Side
both,Ruby's Cafe,Rubys East Village LLC,Rubys East Village LLC,198,East 11th Street,Manhattan,10003,"198  East 11th Street, Manhattan, NY",615,351,yes,yes,yes,no,,40.731275,-73.988526,East Village
roadway,Milk Bar,"CHELSEAMILK, LLC",Milk Bar Chelsea,220,8th Ave,Manhattan,10011,"220 8th Ave, Manhattan, NY",,96,no,yes,no,no,,40.744193,-73.999271,Hudson Yards-Chelsea-Flatiron-Union Square
both,Tea Cup Cafe,Tea Cup Cafe,Tea Cup Cafe,76-23,Woodside Ave.,Queens,11373,"76-23 Woodside Ave., Queens, NY",120,96,yes,yes,no,no,,40.743455,-73.8886,Elmhurst
sidewalk,Shipwreck Seafood Boutique,Shipwreck Seafood Boutique,Shipwreck Seafood Boutique,1047,Bedford Avenue,Brooklyn,11216,"1047  Bedford Avenue, Brooklyn, NY",144,,yes,no,no,no,,40.688147,-73.954852,Bedford
both,Pescatore Restaurant,EVOO GROUP LLC,Pescatore Restaurant,955,2nd avenue,Manhattan,10022,"955  2nd avenue , Manhattan, NY",152,190,yes,yes,yes,no,,40.755266,-73.968251,Turtle Bay-East Midtown
sidewalk,Elsewhere Espresso,ELsewhere Espresso LLC,ELsewhere Espresso LLC,335,East 6th Street,Manhattan,10003,"335  East 6th Street, Manhattan, NY",255,,yes,no,no,yes,yes,40.727015,-73.9876,East Village
sidewalk,gran caffe de martini,gran caffe de martini ltd,gran caffe de martini ltd,609,vanderbilt ave,Brooklyn,11211,"609  vanderbilt ave, Brooklyn, NY",40,,yes,no,no,yes,yes,40.679102,-73.968331,Prospect Heights
both,AYO GROUP CORP,AYO GROUP CORP,AJO Y OREGANO RESTAURANT,621,CRESCENT AVENUE,Bronx,10458,"621 CRESCENT AVENUE, Bronx, NY",638,464,yes,yes,no,no,,40.853812,-73.887464,Belmont
roadway,The Beatrice Inn,Butcher's Block Hospitality,The Beatrice Inn,283,West 12th Street,Manhattan,10014,"283 West 12th Street, Manhattan, NY",,152,no,yes,yes,no,,40.737553,-74.004009,West Village
sidewalk,Loco Burrito,Loco Burrito inc,Loco Burrito inc,345,Graham ave.,Brooklyn,11211,"345 Graham ave., Brooklyn, NY",57,,yes,no,no,no,,40.714832,-73.944445,East Williamsburg
sidewalk,16 Handles,BJ's Corner Inc.,16 Handles,139,N 7th St,Brooklyn,11249,"139 N 7th St, Brooklyn, NY",140,,yes,no,no,no,,40.718258,-73.958388,North Side-South Side
sidewalk,Zucker's Bagels & Smoked Fish,BCN Provisions,Zucker's Bagels & Smoked Fish,146,Chambers Street,Manhattan,10007,"146 Chambers Street, Manhattan, NY",96,,yes,no,no,no,,40.715803,-74.00988,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,Casa Adela Restaurant,Casa Adela Restaurant Corp.,Casa Adela Restaurant,66,Avenue C,Manhattan,10009,"66 Avenue C, Manhattan, NY",450,,yes,no,no,no,,40.722768,-73.979804,Lower East Side
sidewalk,New Maurice Deli,New Maurice Deli INC,New Maurice Deli INC,5904,55th dr,Queens,11378,"5904  55th dr, Queens, NY",60,,yes,no,no,yes,yes,40.726052,-73.908714,Maspeth
sidewalk,Il Punto,Il Punto Ristorante LLC,Il Punto Ristorante LLC,507-509,9th Avenue,Manhattan,10018,"507-509 9th Avenue, Manhattan, NY",1044,,yes,no,yes,no,,40.756006,-73.994409,Clinton
sidewalk,Ben & Teena's Ice Cream,Ben & Teena's Ice Cream Emporium,Ben & Teena's Ice Cream,39-33,Bell Blvd,Queens,11361,"39-33 Bell Blvd, Queens, NY",32,,yes,no,no,no,,40.764925,-73.771669,Bayside-Bayside Hills
both,Beer Run,203 west tavern inc,Beer Run,203,West 19th,Manhattan,10011,"203 West 19th, Manhattan, NY",48,72,yes,yes,yes,no,,40.741808,-73.997799,Hudson Yards-Chelsea-Flatiron-Union Square
both,Cafe Gossip,Gulus Corp.,Gulus Corp.,1977,86th street,Brooklyn,11214,"1977  86th street, Brooklyn, NY",160,160,yes,yes,no,no,,40.604854,-73.998642,Bensonhurst West
sidewalk,CreperieNYC,AHS CREPES CORP,CreperieNYC,112,MacDougal Street,Manhattan,10012,"112 MacDougal Street, Manhattan, NY",121,,yes,no,no,no,,40.729599,-74.000812,West Village
both,THE WARREN,HUDSON GASTROPUB LLC,THE WARREN,131,CHRISTOPHER STREET,Manhattan,10014,"131  CHRISTOPHER STREET, Manhattan, NY",70,104,yes,yes,yes,yes,yes,40.733032,-74.006578,West Village
sidewalk,Puebla Restaurant,Puebla Restaurant 2016 Corp.,Puebla Restaurant 2016 Corp.,3922,61 Street,Queens,11377,"3922 61 Street, Queens, NY",78,,yes,no,no,no,,40.746586,-73.902958,Woodside
both,Suzume,Best Restaurant Inc.,Suzume,545,Lorimer,Brooklyn,11211,"545 Lorimer, Brooklyn, NY",645,280,yes,yes,yes,no,,40.713171,-73.949229,North Side-South Side
both,Lakou Cafe,Lakou Brands LLC,Lakou Cafe,195,Utica,Brooklyn,11213,"195 Utica, Brooklyn, NY",45,120,yes,yes,no,no,,40.672075,-73.930807,Crown Heights North
both,Serafina Broadway,Serafina Broadway LTD,Serafina Broadway LTD,270,West 55th Street,Manhattan,10019,"270  West 55th Street, Manhattan, NY",800,350,yes,yes,yes,no,,40.765137,-73.983185,Midtown-Midtown South
both,Angelina Bakery,Galaxy Antiques LLC,Angelina Bakery,1427,6th Avenue,Manhattan,10019,"1427 6th Avenue, Manhattan, NY",300,600,yes,yes,no,no,,40.765138,-73.976618,Midtown-Midtown South
sidewalk,Hot Peppers Inc,Hot Peppers Inc,Hot Peppers Inc,78-33,Springfield Blvd,Queens,11364,"78-33 Springfield Blvd, Queens, NY",208,,yes,no,no,no,,40.736859,-73.747379,Oakland Gardens
both,El Cave Cigars Lounge,El Cave Cigars Lounge,El Cave Cigars Lounge,47,Vermilyea Ave,Manhattan,10034,"47  Vermilyea Ave, Manhattan, NY",112,60,yes,yes,no,no,,40.865186,-73.924839,Marble Hill-Inwood
both,LA BIENVENIDA RESTAURANT CORP,LA BIENVENIDA RESTAURANT CORP,LA BIENVENIDA RESTAURANT CORP,6403,ROOSEVELT AVE,Queens,11377,"6403 ROOSEVELT AVE, Queens, NY",70,112,yes,yes,no,no,,40.745966,-73.899888,Woodside
both,MARIAS BISTRO MEXICANO,MARIAS BISTRO MEXICANO INC,MARIAS BISTRO MEXICANO,886,5TH AVE,Brooklyn,11232,"886 5TH AVE, Brooklyn, NY",132,100,yes,yes,yes,no,,40.651439,-74.003744,Sunset Park West
roadway,Eleva Coffee,Eleva Coffee GPL LLC,Eleva Coffee GPL LLC,7,Bell Slip,Brooklyn,11222,"7 Bell Slip, Brooklyn, NY",,108,no,yes,no,no,,40.736722,-73.957713,Greenpoint
both,u bar & restaurant corp,u bar & restaurant corp,u bar & restaurant corp,1114,ave u,Brooklyn,11223,"1114 ave u, Brooklyn, NY",493,232,yes,yes,no,no,,40.598331,-73.960933,Homecrest
both,Bleu Fin Bar & Grill,Hbar Holdings LLC,Bleu Fin Bar & Grill,633,Nostrand Avenue,Brooklyn,11216,"633  Nostrand Avenue, Brooklyn, NY",18,18,yes,yes,no,no,,40.675527,-73.949957,Crown Heights North
roadway,Shogun  Japanese Restaurant,Mado Japanese cuisine,Shogun Japanese cuisine,9516A,Queens Blvd,Queens,11374,"9516A Queens Blvd, Queens, NY",,256,no,yes,no,no,,40.730663,-73.863851,Rego Park
sidewalk,Gregorys,775 AOA Cafe LLC,775 AOA Cafe LLC,775,6th Ave,Manhattan,10001,"775 6th Ave, Manhattan, NY",200,,yes,no,no,no,,40.744898,-73.99136,Midtown-Midtown South
both,Cositas ricas,Cositas ricas,Cositas ricas,79-19,Roosevelt Ave,Queens,11372,"79-19 Roosevelt Ave, Queens, NY",312,364,yes,yes,no,yes,yes,40.747378,-73.88646,Jackson Heights
both,Cafe Kitsune,Cafe Kitsune Inc.,Cafe Kitsune,550,Hudson Street,Manhattan,10014,"550 Hudson Street, Manhattan, NY",376,200,yes,yes,yes,yes,yes,40.735031,-74.006076,West Village
sidewalk,LAS TIAS BAKERY CAFE,LAS TIAS BAKERY LLC,LAS TIAS BAKERY LLC,74-01,METROPOLITAN AVENUE,Queens,11379,"74-01  METROPOLITAN AVENUE, Queens, NY",420,,yes,no,no,no,,40.712849,-73.878205,Middle Village
sidewalk,Bailey Seafood Market and Resturant Corp,Bailey Seafood Market and Resturant Corp,Bailey Seafood Market and Resturant Corp,146,West 231th Street,Bronx,10463,"146 West 231th Street , Bronx, NY",126,,yes,no,no,no,,40.878138,-73.902745,Van Cortlandt Village
sidewalk,Jeju Noodle Bar,Jeju R&D LLC,Jeju Noodle Bar,679,Greenwich street,Manhattan,10014,"679  Greenwich street, Manhattan, NY",252,,yes,no,yes,yes,yes,40.732931,-74.007494,West Village
sidewalk,W & G Noodle Village Inc.,W & G Noodle Village Inc.,W & G Noodle Village Inc.,13,Mott Street,Manhattan,10013,"13 Mott Street, Manhattan, NY",209,,yes,no,no,no,,40.714127,-73.998748,Chinatown
both,Truffa pizzeria & wine room corp,Cocina Chente Mexican Cuisine,Cocina Chente Mexican Cuisine,3535,Riverdale Avenue,Bronx,10463,"3535  Riverdale Avenue , Bronx, NY",105,68,yes,yes,yes,no,,40.886057,-73.907001,Spuyten Duyvil-Kingsbridge
both,Tracks Restaurant,Tracks31 LLC,Tracks Restaurant,220,west 31st Street,Manhattan,10001,"220 west 31st Street, Manhattan, NY",80,80,yes,yes,yes,no,,40.749443,-73.992843,Midtown-Midtown South
sidewalk,Corona heights Subway Inc,Corona Heights Subway Inc,Corona Heights Subway Inc,108-11,Corona Ave,Queens,11368,"108-11 Corona Ave, Queens, NY",126,,yes,no,no,no,,40.743012,-73.854775,Corona
both,THE MOLLY WEE,402 EIGHT AVENUE INC,THE MOLLY WEE,402,EIGHTH AVE,Manhattan,10001,"402   EIGHTH AVE, Manhattan, NY",192,504,yes,yes,yes,no,,40.749762,-73.995221,Midtown-Midtown South
both,Speedy Romeo,JSALT LLC,Speedy Romeo,63,Clinton Street,Manhattan,10002,"63 Clinton Street, Manhattan, NY",104,368,yes,yes,yes,no,,40.719462,-73.984888,Chinatown
both,Top Hops Beer Shop,"Cask and Cave, INC",Top Hops Beer Shop,94,Orchard Street,Manhattan,10002,"94 Orchard Street, Manhattan, NY",221,160,yes,yes,yes,no,,40.71837,-73.990098,Chinatown
both,Mei Wei Si Restaurant,Mei Wei Si Inc,Mei Wei Si Inc,36-26A,Union Street,Queens,11354,"36-26A Union Street, Queens, NY",75,120,yes,yes,no,no,,40.763332,-73.827978,Flushing
sidewalk,Suited,Suited Curation LLC,Suited,45,John St,Manhattan,10038,"45 John St, Manhattan, NY",40,,yes,no,no,no,,40.709241,-74.008,Battery Park City-Lower Manhattan
both,Sanpanino Sandwich Shop,Brooklyn Panino Inc.,Brooklyn Panino Inc.,187,State Street,Brooklyn,11201,"187  State Street, Brooklyn, NY",60,128,yes,yes,no,no,,40.69023,-73.99167,Brooklyn Heights-Cobble Hill
sidewalk,Ruzana,Good Eats & Grocery Corp,Good Eats & Grocery Corp,486,85th Street,Brooklyn,11209,"486 85th Street, Brooklyn, NY",299,,yes,no,no,no,,40.622473,-74.026232,Bay Ridge
sidewalk,FELICE,"FELICE 240, LLC",FELICE,undefined,240 COLUMBUS AVENUE,Manhattan,10023,"240 COLUMBUS AVENUE, Manhattan, NY",1480,,yes,no,yes,yes,yes,40.776831,-73.979221,Lincoln Square
sidewalk,Mulberry & Vine,"Yummy Meep, LLC",Mulberry & Vine,71,Warren Street,Manhattan,10007,"71 Warren Street, Manhattan, NY",60,,yes,no,no,no,,40.715079,-74.009989,SoHo-TriBeCa-Civic Center-Little Italy
both,Santorini,Santorini island,Santorini island,8101,5th Avenue,Brooklyn,11209,"8101 5th Avenue , Brooklyn, NY",480,400,yes,yes,no,no,,40.624935,-74.024485,Bay Ridge
sidewalk,Red Poke,PCPR CORP,PCPR CORP,885,8th ave,Manhattan,10019,"885 8th ave, Manhattan, NY",120,,yes,no,no,no,,40.763984,-73.984882,Clinton
sidewalk,Taco Bell,230 Varick TACO  BELL LLC,TACO  BELL Cantina,230,Varick Street,Manhattan,10014,"230 Varick Street, Manhattan, NY",186,,yes,no,no,no,,40.729206,-74.005214,West Village
sidewalk,McDonald's,700 Broadway Food Corp,McDonald's,700,Broadway,Brooklyn,11206,"700 Broadway, Brooklyn, NY",800,,yes,no,no,no,,40.701566,-73.943323,Bedford
sidewalk,Pret A Manger,Pret A Manger (USA) Limited,Pret A Manger,530,7th Avenue,Manhattan,10018,"530 7th Avenue, Manhattan, NY",40,,yes,no,no,no,,40.753851,-73.988551,Midtown-Midtown South
sidewalk,Burgerim,Anaya Alam LLC,Burgerim,318,Bedford Ave,Brooklyn,11429,"318  Bedford Ave, Brooklyn, NY",120,,yes,no,no,no,,,,
both,RIVIERA,ASPL CAFE INC,RIVIERA,34-48,STEINWAY STREET,Queens,11101,"34-48 STEINWAY STREET, Queens, NY",1062,944,yes,yes,yes,no,,40.755924,-73.92149,Astoria
roadway,Tiramisu Restaurant,Tiramisu Restaurant LLC,Tiramisu Restaurant LLC,1410,Third Avenue,Manhattan,10028,"1410  Third Avenue, Manhattan, NY",,98,no,yes,yes,no,,40.77511,-73.956703,Upper East Side-Carnegie Hill
both,SABORES DE MI TIERRA RESTAURANT INC,SABORES DE MI TIERRA RESTAURANT INC,SABORES DE MI TIERRA RESTAURANT INC,1562-68,ST NICHOLAS AVENUE,Manhattan,10040,"1562-68 ST NICHOLAS AVENUE, Manhattan, NY",348,232,yes,yes,no,no,,40.853777,-73.930459,Washington Heights North
openstreets,Sunday to Sunday,"Sunday to Sunday Cafe, Inc.",Sunday to Sunday,88,Orchard St,Manhattan,10002,"88 Orchard St, Manhattan, NY",,,no,no,no,no,,40.717983,-73.990296,Chinatown
both,Shabulixius,K & T Kitchen LLC,Shabulixius,39-32,Bell Blvd,Queens,11361,"39-32 Bell Blvd, Queens, NY",112,112,yes,yes,no,no,,40.76492,-73.771691,Bayside-Bayside Hills
sidewalk,Libermans,"Liberman, Solomon","Liberman, Solomon",4801,16th Avenue,Brooklyn,11204,"4801 16th Avenue , Brooklyn, NY",84,,yes,no,no,no,,40.631511,-73.985009,Borough Park
sidewalk,"Kushi Izakaya Restaurant, Inc","Kushi Izakaya Restaurant, Inc","Kushi Izakaya Restaurant, Inc",1934,86th Street,Brooklyn,11214,"1934 86th Street, Brooklyn, NY",180,,yes,no,no,no,,40.605392,-73.999582,Bensonhurst West
sidewalk,"Lain Out Cheesesteak, Inc","Latin Out Cheesesteak, Inc","Latin Out Cheesesteak, Inc",710,9th Avenue,Manhattan,10019,"710  9th Avenue, Manhattan, NY",84,,yes,no,no,yes,yes,40.762544,-73.989629,Clinton
sidewalk,red hot II,red hot 168 INC,red hot 168 INC,349,7th ave,Brooklyn,11215,"349  7th ave, Brooklyn, NY",150,,yes,no,no,yes,yes,40.666202,-73.982143,Park Slope-Gowanus
both,Mama Maria's Restaurant,Giannino's Pizza Corp,Mama Maria's,307,Court st,Brooklyn,11231,"307  Court st, Brooklyn, NY",96,128,yes,yes,yes,no,,40.683586,-73.995298,Carroll Gardens-Columbia Street-Red Hook
both,PAOLA'S RESTAURANT,PAOLA'S RESTAURANT GROUP LLC,PAOLA'S RESTAURANT,1295,MADISON AVE,Manhattan,10128,"1295 MADISON AVE, Manhattan, NY",540,360,yes,yes,yes,yes,yes,40.78476,-73.955952,Upper East Side-Carnegie Hill
sidewalk,Kanoyama restaurant,Kanoyama restaurant,N&D restaurant corp,175  2 AV,11 street,Manhattan,10003,"175  2 AV 11 street , Manhattan, NY",1314,,yes,no,yes,yes,yes,,,
both,Miriam Restaurant,SAMI AND SUSU FOOD INC,MIRIAM RESTAURANT,79,5TH AVENUE,Brooklyn,11217,"79 5TH AVENUE, Brooklyn, NY",426,568,yes,yes,yes,no,,40.68026,-73.977841,Park Slope-Gowanus
both,Fifth   Avenue Diner,GNS FOODS INC,Fifth Avenue Diner,430-432,5th avenue,Brooklyn,11215,"430-432 5th avenue, Brooklyn, NY",168,224,yes,yes,no,no,,40.669603,-73.985959,Park Slope-Gowanus
sidewalk,Pret A Manger,Pret A Manger (USA) Limited,Pret A Manger,1320,York Avenue,Manhattan,10021,"1320 York Avenue, Manhattan, NY",60,,yes,no,no,no,,40.765826,-73.954481,Lenox Hill-Roosevelt Island
sidewalk,Screamers Pizzeria,Champs Jr Inc,Screamers Pizzeria,685,franklin ave,Brooklyn,11238,"685  franklin ave, Brooklyn, NY",144,,yes,no,no,no,,40.675225,-73.95631,Crown Heights North
sidewalk,McDonald's,Canal Street Food Corp,McDonald's,262,Canal Street,Manhattan,10013,"262 Canal Street, Manhattan, NY",340,,yes,no,no,no,,40.71871,-74.000938,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,Mokbar,Mokbar LLC,Mokbar LLC,75,9th ave,Manhattan,10011,"75 9th ave, Manhattan, NY",125,,yes,no,no,no,,40.741876,-74.004713,Hudson Yards-Chelsea-Flatiron-Union Square
sidewalk,Taboon,Taboon Restaurant Corp,Taboon Restaurant Corp,773,10th Ave,Manhattan,10019,"773 10th Ave, Manhattan, NY",315,,yes,no,yes,no,,40.766087,-73.99078,Clinton
sidewalk,La Aurora Dominican Restaurant Inc,La Aurora Dominican Restaurant Inc,La Aurora Dominican Restaurant Inc,239-17,Braddock ave,Queens,11426,"239-17 Braddock ave, Queens, NY",256,,yes,no,no,no,,40.726559,-73.728607,Bellerose
both,Pizza Ciao Pasta Inc,Pizza Ciao Pasta Inc,Pizza Ciao Pasta Inc,7116,Bay Parkway,Brooklyn,11204,"7116 Bay Parkway , Brooklyn, NY",80,160,yes,yes,no,no,,40.610132,-73.985305,Bensonhurst West
both,Sea Witch Tavern,Harbor Avenue LLC,Sea Witch Tavern,703,5th Avenue,Brooklyn,11215,"703  5th Avenue, Brooklyn, NY",70,168,yes,yes,yes,no,,40.660966,-73.993804,Sunset Park West
roadway,Zinc Espresso Bar & Jazz,Allora2 s.p.a. inc,Zinc,82,West 3rd Street,Manhattan,10012,"82 West 3rd Street , Manhattan, NY",,200,no,yes,yes,yes,yes,40.729794,-73.998842,West Village
both,PS Kitchen,"Lantern Global, LLC","Lantern Global, LLC",246,West 48th Street,Manhattan,10036,"246  West 48th Street, Manhattan, NY",44,176,yes,yes,yes,no,,40.760534,-73.98585,Midtown-Midtown South
sidewalk,Mashallah Grill Inc,Mashallah grill Inc,Mashallah grill,2004,Bath Avenue,Brooklyn,11214,"2004 Bath Avenue, Brooklyn, NY",280,,yes,no,no,no,,40.601308,-74.001365,Bath Beach
roadway,Haizea,Txokoa,Txokoa,142,Sullivan St,Manhattan,10012,"142 Sullivan St, Manhattan, NY",,80,no,yes,no,yes,yes,40.726983,-74.001959,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,BELL DINER,MEROVIGLI FOOD CORP,MEROVIGLI FOOD CORP,215-25,73 AVE,Queens,11364,"215-25  73 AVE, Queens, NY",150,,yes,no,no,no,,40.740633,-73.758945,Oakland Gardens
sidewalk,Blue Park Kitchen,Blue Park Pine LLC,Blue Park Kitchen,70,Pine Street,Manhattan,10005,"70 Pine Street, Manhattan, NY",330,,yes,no,no,yes,yes,40.706315,-74.007895,Battery Park City-Lower Manhattan
both,YiaYia's Homemade Greek Food,Oreksi Greek Grill LLC,Oreksi Greek Grill LLC,404,East 69th st,Manhattan,10021,"404  East 69th st, Manhattan, NY",99,198,yes,yes,no,no,,40.765693,-73.957016,Lenox Hill-Roosevelt Island
both,FoodStruck,Ramro Group LLC,Ramro Group LLC,3106,35th street,Queens,11106,"3106  35th street, Queens, NY",36,72,yes,yes,no,no,,40.762377,-73.920663,Astoria
sidewalk,Ecuatoriana Restaurant,Ecuatoriana Restuarant Corp,Ecuatoriana Restuarant Corp,1685,Amsterdam Avenue,Manhattan,10031,"1685 Amsterdam Avenue, Manhattan, NY",225,,yes,no,yes,yes,yes,40.824154,-73.948382,Hamilton Heights
sidewalk,McDonald's,6 Water Inc,McDonald's,26,East 23rd Street,Manhattan,10010,"26 East 23rd Street, Manhattan, NY",315,,yes,no,no,no,,40.740731,-73.987669,Hudson Yards-Chelsea-Flatiron-Union Square
both,Toskana Pizzeria,Deva Little Neck INC,Deva Little Neck INC,248-25,Northern Blvd,Queens,11362,"248-25 Northern Blvd, Queens, NY",972,432,yes,yes,no,no,,40.767493,-73.738621,Douglas Manor-Douglaston-Little Neck
sidewalk,Bagel Schmagel Corporation,Bagel Schmagel Corporation,Bagel Schmagel Corporation,7510,3rd ave,Brooklyn,11209,"7510 3rd ave, Brooklyn, NY",144,,yes,no,no,no,,40.631311,-74.027867,Bay Ridge
both,u bar & restaurant corp,u bar & restaurant corp,u bar & restaurant corp,1114,ave u,Brooklyn,11223,"1114 ave u, Brooklyn, NY",493,232,yes,yes,no,no,,40.598331,-73.960933,Homecrest
both,Bangkok Avenue,Bangkok Avenue LLC,Bangkok Avenue LLC,253-21,Northern Blvd.,Queens,11362,"253-21 Northern Blvd., Queens, NY",20,136,yes,yes,no,no,,40.770889,-73.735322,Douglas Manor-Douglaston-Little Neck
both,Osteria 57,Embe restaurant corp,Osteria 57,57,west 10th,Manhattan,10011,"57 west 10th, Manhattan, NY",165,120,yes,yes,yes,yes,yes,40.734185,-73.997258,West Village
both,Pasquale's Rigoletto Restaurant,P.A.R.T. RESTAURANT CORP,Pasquale's Rigoletto Restaurant,2311,Arthur Ave.,Bronx,10458,"2311  Arthur Ave., Bronx, NY",825,440,yes,yes,yes,no,,40.853819,-73.88908,Belmont
both,NUR THAI,AMANI NUR INC,NUR THAI,6332,WOODHAVEN BLVD,Queens,11374,"6332 WOODHAVEN BLVD, Queens, NY",144,192,yes,yes,no,no,,40.723625,-73.868596,Middle Village
both,lounge Bar cave,Elsa's Cave Corp,Elsa's Cave Corp,2320,Mcdonald Avenue,Brooklyn,11223,"2320 Mcdonald Avenue, Brooklyn, NY",1000,750,yes,yes,yes,no,,40.595741,-73.973422,Gravesend
